Type,St,Rest_Area,Rte,MP,Mun,Co,Lat,Long,Total_Spac,Truck_Spac,Hours,Limit,Comment,Rest_Stop
Public,FL,Weigh Station,I-95S,112.0,Palm City,Martin,27.1891,-80.4008,43.0,34.0,24 hours per day,No limit,,Weigh Station
Public,FL,NHS Rest Stop or Truck Facility 48,I-95S,133.0,Fort Pierce,St. Lucie,27.4647,-80.4215,145.0,43.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 48
Public,FL,NHS Rest Stop or Truck Facility 41,I-95N,133.0,Fort Pierce,St. Lucie,27.4663,-80.4176,161.0,44.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 41
Public,FL,NHS Rest Stop or Truck Facility 19,I-275N,7.0,Terra Ceia,Manatee,27.5847,-82.6142,57.0,16.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 19
Public,FL,NHS Rest Stop or Truck Facility 20,I-275N,13.0,Tierra Verde,Pinellas,27.6487,-82.6757,65.0,21.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 20
Public,FL,NHS Rest Stop or Truck Facility 35,I-75S,238.0,Gulf City,Hillsborough,27.6926,-82.4206,143.0,43.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 35
Public,FL,NHS Rest Stop or Truck Facility 42,I-95N,168.0,Palm Bay West,Brevard S,27.9339,-80.6037,153.0,60.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 42
Public,FL,NHS Rest Stop or Truck Facility 49,I-95S,168.0,Grant Valkaria,Brevard S,27.9481,-80.6089,155.0,67.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 49
Public,FL,Weigh Station,I-4E,12.0,Seffner,Hillsborough,28.0155,-82.2652,34.0,15.0,24 hours per day,No limit,,Weigh Station
Public,FL,Weigh Station,I-4W,12.0,Seffner,Hillsborough,28.0185,-82.2727,34.0,15.0,24 hours per day,No limit,,Weigh Station
Public,FL,NHS Rest Stop or Truck Facility 21,I-4E,46.0,Polk City,Polk,28.1691,-81.7715,77.0,23.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 21
Public,FL,NHS Rest Stop or Truck Facility 23,I-4W,46.0,Polk City,Polk,28.1742,-81.7669,81.0,24.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 23
Public,FL,NHS Rest Stop or Truck Facility 36,I-75N,278.0,Wesley Chapel,Pasco,28.2137,-82.3736,157.0,51.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 36
Public,FL,NHS Rest Stop or Truck Facility 37,I-75S,278.0,Wesley Chapel,Pasco,28.2164,-82.3685,157.0,51.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 37
Public,FL,NHS Rest Stop or Truck Facility 28,I-75N,307.0,Ridge Manor Est,Sumter,28.5848,-82.2128,98.0,44.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 28
Public,FL,NHS Rest Stop or Truck Facility 38,I-75S,307.0,Croom,Sumter,28.5871,-82.211,131.0,33.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 38
Public,TX,"Live Oak County SRA, northbound",I-37N,78.0,Whitsett,Live Oak,28.605114,-98.221161,42.0,9.0,24,24,,"Live Oak County SRA, northbound"
Public,FL,NHS Rest Stop or Truck Facility 43,I-95N,225.0,Mims,Brevard N,28.6869,-80.8781,82.0,33.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 43
Public,FL,NHS Rest Stop or Truck Facility 24,I-4W,94.0,Wekiva Springs,Seminole,28.7019,-81.3849,62.0,16.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 24
Public,FL,NHS Rest Stop or Truck Facility 50,I-95S,227.0,Mims,Brevard N,28.7088,-80.8878,85.0,35.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 50
Public,FL,NHS Rest Stop or Truck Facility 22,I-4E,96.0,Sanlando Springs,Seminole,28.7255,-81.374,67.0,17.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 22
Public,FL,Weigh Station,I-75N,158.0,Punta Gorda,Charlotte,28.8791,-81.9858,39.0,33.0,24 hours per day,No limit,,Weigh Station
Public,TX,Victoria County SRA northbound,US59N,0.0,Inez,Victoria,28.887707,-96.825387,61.0,17.0,24,24,,Victoria County SRA northbound
Public,TX,Victoria County SRA southbound,US59S,0.0,Inez,Victoria,28.889265,-96.825556,61.0,17.0,24,24,,Victoria County SRA southbound
Public,FL,Weigh Station,I-75N,338.0,Wildwood,Marion,28.9929,-82.1439,6.0,29.0,24 hours per day,No limit,,Weigh Station
Public,FL,Weigh Station,I-75S,338.0,Wildwood,Marion,28.9935,-82.1429,7.0,28.0,24 hours per day,No limit,,Weigh Station
Public,FL,NHS Rest Stop or Truck Facility 29,I-75S,346.0,Ocala,Marion,29.0931,-82.1835,168.0,43.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 29
Public,FL,NHS Rest Stop or Truck Facility 39,I-75S,346.0,Ocala,Marion,29.096,-82.1851,168.0,43.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 39
Public,TX,Medina County SRA (I-35) northbound,I-35N,129.0,Natalia,Medina,29.197285,-98.826131,36.0,12.0,24,24,,Medina County SRA (I-35) northbound
Public,TX,Medina County SRA (I-35) southbound,I-35S,129.0,Coal Mine,Medina,29.198986,-98.824686,36.0,12.0,24,24,,Medina County SRA (I-35) southbound
Public,TX,Medina County Safety Rest Area (US-90),US90E,0.0,Sabinal,Medina,29.314509,-99.385582,56.0,28.0,24,24,,Medina County Safety Rest Area (US-90)
Public,TX,Bolivar Ferry Landing,Hwy87,0.0,Bolivar,Galveston,29.362716,-94.77863,54.0,0.0,0,,,Bolivar Ferry Landing
Public,FL,Weigh Station,I-95S,286.0,Palm Coast,Flager,29.5108,-81.1971,46.0,41.0,24 hours per day,No limit,,Weigh Station
Public,FL,Weigh Station,I-95N,286.0,Palm Coast,Flager,29.5108,-81.1971,46.0,41.0,24 hours per day,No limit,,Weigh Station
Public,FL,NHS Rest Stop or Truck Facility 31,I-75N,383.0,Daysville,Alachua,29.5895,-82.3647,102.0,7.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 31
Public,FL,NHS Rest Stop or Truck Facility 32,I-75S,382.0,Daysville,Alachua,29.5903,-82.3627,107.0,13.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 32
Public,TX,"Guadalupe County SRA, eastbound",I-10E,619.0,Kingsbury,Guadalupe,29.615692,-97.799861,56.0,28.0,24,24,,"Guadalupe County SRA, eastbound"
Public,TX,"Guadalupe County SRA, westbound",I-10W,619.0,Kingsbury,Guadalupe,29.616212,-97.806236,56.0,28.0,24,24,,"Guadalupe County SRA, westbound"
Public,TX,"Colorado County SRA, eastbound",I-10E,692.0,Glidden,Colorado,29.693273,-96.609983,48.0,24.0,24,24,,"Colorado County SRA, eastbound"
Public,TX,"Colorado County SRA, westbound",I-10W,692.0,Glidden,Colorado,29.69426,-96.610443,48.0,24.0,24,24,,"Colorado County SRA, westbound"
Public,FL,NHS Rest Stop or Truck Facility 44,I-95N,302.0,Hastings,St. Johns S,29.7022,-81.3272,68.0,18.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 44
Public,FL,NHS Rest Stop or Truck Facility 51,I-95S,302.0,Vermont Heights,St. Johns S,29.7156,-81.3349,87.0,15.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 51
Public,FL,NHS Rest Stop or Truck Facility 30,I-75N,413.0,Ellisville,Columbia,29.9775,-82.577,114.0,50.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 30
Public,FL,NHS Rest Stop or Truck Facility 40,I-75S,413.0,Ellisville,Columbia,29.9792,-82.58,114.0,43.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 40
Public,TX,"Kerr County SRA, eastbound",I-10E,514.0,Legion,Kerr,30.052641,-99.027419,20.0,8.0,24,24,,"Kerr County SRA, eastbound"
Public,TX,"Kerr County SRA, westbound",I-10W,514.0,Legion,Kerr,30.054301,-99.026317,20.0,8.0,24,24,,"Kerr County SRA, westbound"
Public,FL,NHS Rest Stop or Truck Facility 45,I-95N,331.0,Sampson,St. Johns N,30.0914,-81.4967,143.0,43.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 45
Public,FL,NHS Rest Stop or Truck Facility 52,I-95S,331.0,Sampson,St. Johns N,30.0947,-81.4988,143.0,43.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 52
Public,LA,LaPlace Weigh Scale,I-10E,270.0,LaPlace,St. John the Baptist,30.100128,-90.482427,0.0,10.0,,,,LaPlace Weigh Scale
Public,LA,LaPlace Weigh Scale,I-10W,207.0,LaPlace,St. John the Baptist,30.100455,-90.480762,0.0,10.0,,,,LaPlace Weigh Scale
Public,TX,(Orange County SRA. Demolished),I-10W,868.0,Gratis,,30.131545,-93.903482,0.0,0.0,,,,(Orange County SRA. Demolished)
Public,LA,Toomey Rest Area,1-10E,1.4,Toomey,Calcasieu,30.1373,-93.676875,62.0,6.0,24,,,Toomey Rest Area
Public,LA,Starks Weigh Scale,I-10W,3.0,Toomey,Calcasieu,30.143621,-93.664537,0.0,10.0,,,,Starks Weigh Scale
Public,FL,NHS Rest Stop or Truck Facility 53,US19/US27,0.0,Perry,Taylor,30.1995,-83.6549,38.0,10.0,7am - 7pm,3 hours (by rule),,NHS Rest Stop or Truck Facility 53
Public,TX,Gillespie County SRA US-290,US290,0.0,Hye,Gillespie,30.235392,-98.609725,14.0,0.0,24,24,,Gillespie County SRA US-290
Public,FL,NHS Rest Stop or Truck Facility 8,I-10E,318.0,Olustee,Baker,30.253936,-82.40276,56.0,22.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 8
Public,FL,NHS Rest Stop or Truck Facility 9,I-10W,318.0,Olustee,Baker,30.255054,-82.400722,56.0,23.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 9
Public,FL,NHS Rest Stop or Truck Facility 17,I-10W,295.0,Wellborn,Hamilton,30.2748,-82.7998,53.0,15.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 17
Public,FL,NHS Rest Stop or Truck Facility 7,I-10E,294.0,Wellborn,Suwannee,30.274817,-82.799847,45.0,14.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 7
Public,LA,Breaux Bridge Weigh Scale,I-10E,108.0,Breaux Bridge,St. Martin,30.285332,-91.93861,0.0,10.0,,,,Breaux Bridge Weigh Scale
Public,LA,Breaux Bridge Weigh Scale,I-10W,107.0,Breaux Bridge,St. Martin,30.286336,-91.938289,0.0,10.0,,,,Breaux Bridge Weigh Scale
Public,LA,Slidell I-10 Rest Area,I-10W,1.0,Slidell,St. Tammany,30.299032,-89.711598,129.0,35.0,24,,,Slidell I-10 Rest Area
Public,MS,NHS Weigh Station Hancock County I-10 WB,I-10 WB,1.0,Pearlington,Hancock,30.308893,-89.62301,8.0,8.0,Weigh Station parking area is only used for inspections and regulatory activities.,,,NHS Weigh Station Hancock County I-10 WB
Public,MS,NHS Welcome Center Hancock County Welcome Center,I-10 @ MS 607,2.0,Pearlington,Hancock,30.312954,-89.599627,171.0,20.0,24/7,,,NHS Welcome Center Hancock County Welcome Center
Public,LA,Slidell I-59 Rest Area,I-59S,2.0,Slidell,St. Tammany,30.322347,-89.738273,33.0,6.0,24,,,Slidell I-59 Rest Area
Public,MS,NHS Weigh Station Hancock County I-10 EB,I-10 EB,9.0,Pearlington,Hancock,30.342801,-89.474711,16.0,16.0,Weigh Station parking area is only used for inspections and regulatory activities.,,,NHS Weigh Station Hancock County I-10 EB
Public,LA,Butte Larose (Atchafalaya) Rest Area,I-10,121.0,Butte Larose,St. Martin,30.343267,-91.722268,116.0,42.0,24,,,Butte Larose (Atchafalaya) Rest Area
Public,FL,NHS Rest Stop or Truck Facility 6,I-10E,265.0,Lee,Madison,30.36795,-83.249233,87.0,25.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 6
Public,FL,NHS Rest Stop or Truck Facility 16,I-10W,265.0,Lee,Madison,30.3689,-83.2438,85.0,23.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 16
Public,FL,Weigh Station,I-10E,264.0,Lee,Madison,30.3734,-83.2726,38.0,27.0,24 hours per day,No limit,,Weigh Station
Public,FL,Weigh Station,I-10W,264.0,Lee,Madison,30.3747,-83.2723,38.0,27.0,24 hours per day,No limit,,Weigh Station
Public,FL,Weigh Station,I-75S,449.0,Jennings,Hamilton,30.4181,-82.8985,42.0,39.0,24 hours per day,No limit,,Weigh Station
Public,FL,Weigh Station,I-75N,449.0,Jennings,Hamilton,30.4215,-82.9029,42.0,31.0,24 hours per day,No limit,,Weigh Station
Public,MS,NHS Rest Area Jackson County I-10 EB,I-10 EB,63.0,Gautier,Jackson,30.436974,-88.622181,61.0,18.0,24/7,8 hrs or min hrs to maintain driver's log requirement,,NHS Rest Area Jackson County I-10 EB
Public,MS,NHS Rest Area Jackson County I-10 WB,I-10 WB,63.0,Gautier,Jackson,30.438635,-88.619266,51.0,18.0,24/7,8 hrs or min hrs to maintain driver's log requirement,,NHS Rest Area Jackson County I-10 WB
Public,FL,NHS Rest Stop or Truck Facility 5,I-10E,234.0,Aucilla,Jefferson,30.445454,-83.734041,53.0,10.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 5
Public,FL,NHS Rest Stop or Truck Facility 15,I-10W,234.0,Aucilla,Jefferson,30.447008,-83.730551,55.0,11.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 15
Public,MS,NHS Weigh Station Jackson County I-10 EB,I-10 EB,74.0,Orange Grove,Jackson,30.460056,-88.436444,15.0,15.0,Weigh Station parking area is only used for inspections and regulatory activities.,,,NHS Weigh Station Jackson County I-10 EB
Public,MS,NHS Welcome Center Jackson County Welcome Center,I-10 WB,74.0,Moss Point,Jackson,30.462394,-88.434293,149.0,14.0,24/7,,,NHS Welcome Center Jackson County Welcome Center
Public,MS,NHS Weigh Station Jackson County I-10 WB,I-10 WB,76.0,Orange Grove,Jackson,30.473359,-88.404021,15.0,15.0,Weigh Station parking area is only used for inspections and regulatory activities.,,,NHS Weigh Station Jackson County I-10 WB
Public,MS,NHS Weigh Station Pearl River County I-59 NB,I-59 NB,1.0,Nicholson,Pearl River,30.476487,-89.680334,8.0,8.0,Weigh Station parking area is only used for inspections and regulatory activities.,,,NHS Weigh Station Pearl River County I-59 NB
Public,MS,NHS Weigh Station Pearl River County I-59 SB,I-59 SB,1.0,Nicholson,Pearl River,30.477166,-89.681311,8.0,8.0,Weigh Station parking area is only used for inspections and regulatory activities.,,,NHS Weigh Station Pearl River County I-59 SB
Public,LA,Baptist Weigh Scale,I-12E,36.0,Hammond,Tangipahoa,30.47903,-90.521217,0.0,10.0,,,,Baptist Weigh Scale
Public,LA,Baptist Weigh Scale,I-12W,35.0,Hammond,Tangipahoa,30.479778,-90.521505,0.0,10.0,,,,Baptist Weigh Scale
Public,FL,NHS Rest Stop or Truck Facility 4,I-10E,194.0,Tallahassee,Leon,30.483978,-84.388752,49.0,19.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 4
Public,FL,NHS Rest Stop or Truck Facility 14,I-10W,194.0,Tallahassee,Leon,30.484995,-84.384926,45.0,19.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 14
Public,MS,NHS Welcome Center Pearl River County Welcome Center,I-59 NB,3.0,Picayune,Pearl River,30.497173,-89.669262,61.0,13.0,24/7,,,NHS Welcome Center Pearl River County Welcome Center
Public,FL,Welcome Center,I-10E,4.0,Pensacola,Escambia,30.5441,-87.3502,142.0,34.0,24 hours per day,3 hours (by rule),,Welcome Center
Public,FL,Weigh Station,I-10E,4.0,Pensacola,Escambia,30.5531,-87.3627,47.0,39.0,24 hours per day,No limit,,Weigh Station
Public,FL,Weigh Station,I-10W,4.0,Pensacola,Escambia,30.5539,-87.362,47.0,39.0,24 hours per day,No limit,,Weigh Station
Public,MS,NHS Parking Area Pearl River County I-59 NB,I-59 NB,8.0,Picayune,Pearl River,30.563841,-89.637757,20.0,10.0,This facility was closed due to vandalism and burglaries of the adjoining neighborhoods.,,,NHS Parking Area Pearl River County I-59 NB
Public,AL,Baldwin County Welcome Center,I-10 WB,65.8,Seminole,Baldwin,30.575718,-87.418285,124.0,29.0,24 hour,no limits,,Baldwin County Welcome Center
Public,FL,NHS Rest Stop or Truck Facility 1,I-10E,31.0,East Milton,Santa Rosa,30.610223,-86.977888,172.0,74.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 1
Public,FL,NHS Rest Stop or Truck Facility 10,I-10W,31.0,East Milton,Santa Rosa,30.612393,-86.978384,174.0,68.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 10
Public,FL,Welcome Center,I-75S,470.0,Jennings,Hamilton,30.6128,-83.1469,212.0,41.0,24 hours per day,3 hours (by rule),,Welcome Center
Public,TX,"Sutton County SRA, eastbound",I-10E,394.0,Sonora,Sutton,30.61541,-100.746399,20.0,6.0,24,24,,"Sutton County SRA, eastbound"
Public,TX,"Sutton County SRA, westbound",I-10E,394.0,Sonora,Sutton,30.615682,-100.745309,20.0,6.0,24,24,,"Sutton County SRA, westbound"
Public,MS,NHS Parking Area Pearl River County I-59 SB,I-59 SB,13.0,Carriere,Pearl River,30.630079,-89.596049,20.0,10.0,This facility was closed due to vandalism and burglaries of the adjoining neighborhoods.,,,NHS Parking Area Pearl River County I-59 SB
Public,FL,NHS Rest Stop or Truck Facility 13,I-10W,162.0,Hardin Heights,Gadsden,30.633545,-84.890976,176.0,43.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 13
Public,FL,Weigh Station,I-10E,155.0,Sneads,Jackson,30.6388,-84.9825,44.0,39.0,24 hours per day,No limit,,Weigh Station
Public,FL,Weigh Station,I-10W,155.0,Sneads,Jackson,30.6398,-84.9829,44.0,39.0,24 hours per day,No limit,,Weigh Station
Public,GA,Georgia Visitor Information Center -  Valdosta,I-75N,3.0,Lake Park,Lowndes,30.665,-83.209,133.0,23.0,24 hour,24 hour,,Georgia Visitor Information Center -  Valdosta
Public,FL,Weigh Station,I-95S,376.0,Yulee,Nassau,20.6685,-81.668,41.0,30.0,24 hours per day,No limit,,Weigh Station
Public,FL,Weigh Station,I-95N,376.0,Yulee,Nassau,30.6696,-81.667,41.0,30.0,24 hours per day,No limit,,Weigh Station
Public,FL,Welcome Center,I-95S,378.0,Yulee,Nassau,30.697,-81.6781,208.0,37.0,24 hours per day,3 hours (by rule),,Welcome Center
Public,FL,NHS Rest Stop or Truck Facility 18,I-10W,96.0,Bruce,Holmes,30.713,-85.9303,47.0,17.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 18
Public,LA,Grand Prairie Rest Area,I-49,34.0,Grand Prairie,St. Landry,30.724258,-92.12035,92.0,30.0,24,,,Grand Prairie Rest Area
Public,FL,NHS Rest Stop or Truck Facility 2,I-10E,58.0,Crestview,Okaloosa,30.726386,-86.506766,122.0,53.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 2
Public,FL,NHS Rest Stop or Truck Facility 11,I-10W,60.0,Crestview,Okaloosa,30.727028,-86.507996,122.0,53.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 11
Public,GA,Georgia Visitor Information Center - Kingsland,I-95N,1.0,Kingsland,Camden,30.754,-81.649,155.0,29.0,24 hour,24 hour,,Georgia Visitor Information Center - Kingsland
Public,FL,NHS Rest Stop or Truck Facility 3,I-10E,133.0,Jacob,Jackson,30.755395,-85.328503,89.0,12.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 3
Public,FL,NHS Rest Stop or Truck Facility 12,I-10W,133.0,Jacob,Jackson,30.757693,-85.322079,84.0,24.0,24 hours per day,3 hours (by rule),,NHS Rest Stop or Truck Facility 12
Public,MS,Weigh Station Pearl River County MS 26,MS 26,0.0,,Pearl River,30.78658,-89.784171,8.0,8.0,Weigh Station parking area is only used for inspections and regulatory activities.,,,Weigh Station Pearl River County MS 26
Public,TX,Polk County SRA northbound,US59N,0.0,Leggett,Polk,30.838278,-94.860216,41.0,24.0,24,24,,Polk County SRA northbound
Public,TX,Polk County SRA southbound,US59S,0.0,Leggett,Polk,30.839051,-94.86249,47.0,30.0,24,24,,Polk County SRA southbound
Public,TX,"Pecos County SRA East, westbound",I-10E,308.0,Sher,Pecos,30.855579,-102.070247,20.0,10.0,24,24,,"Pecos County SRA East, westbound"
Public,TX,"Pecos County (East) SRA, westbound",I-10W,308.0,Sher,Pecos,30.85575,-102.070399,24.0,10.0,24,24,,"Pecos County (East) SRA, westbound"
Public,TX,"Pecos County SRA East, eastbound",I-10E,308.0,Sher,Pecos,30.861954,-102.082838,20.0,12.0,24,24,,"Pecos County SRA East, eastbound"
Public,MS,NHS Rest Area Dizzy Dean Rest Area,US 49,0.0,Wiggins,Stone,30.866456,-89.165873,36.0,8.0,24/7,,,NHS Rest Area Dizzy Dean Rest Area
Public,MS,NHS Weigh Station George County US 98 EB,US 98 EB,0.0,,George,30.889373,-88.447446,12.0,12.0,Weigh Station parking area is only used for inspections and regulatory activities.,,,NHS Weigh Station George County US 98 EB
Public,MS,NHS Weigh Station George County US 98 WB,US 98 WB,0.0,,George,30.889529,-88.445719,12.0,12.0,Weigh Station parking area is only used for inspections and regulatory activities.,,,NHS Weigh Station George County US 98 WB
Public,TX,"Bell County SRA, northbound",I-35N,281.0,Salado,Bell,30.902886,-97.558856,66.0,28.0,24,24,,"Bell County SRA, northbound"
Public,TX,"Bell County SRA, southbound",I-35S,282.0,Salado,Bell,30.91211,-97.552117,66.0,28.0,24,24,,"Bell County SRA, southbound"
Public,GA,Georgia Weigh Station Region 8 South(Lowndes),I-75S,23.0,Valdosta,Lowndes,30.917,-83.365,30.0,30.0,24 hour,24 hour,,Georgia Weigh Station Region 8 South(Lowndes)
Public,GA,Georgia Weigh Station Region 8 North (Lowndes),I-75N,23.0,Valdosta,Lowndes,30.918,-83.364,30.0,30.0,24 hour,24 hour,,Georgia Weigh Station Region 8 North (Lowndes)
Public,TX,"Pecos County SRA West, eastbound",I-10E,233.0,Belding,Pecos,30.938383,-103.310783,20.0,6.0,24,24,,"Pecos County SRA West, eastbound"
Public,TX,"Pecos County (West) SRA, westbound",I-10W,233.0,Belding,Pecos,30.938774,-103.308745,20.0,6.0,24,24,,"Pecos County (West) SRA, westbound"
Public,LA,Kentwood Rest Area,I-55S,1.0,Kentwood,Tangipahoa,30.983121,-90.510206,69.0,20.0,24,,,Kentwood Rest Area
Public,FL,Welcome Center,US-231S,0.0,Cambellton,Jackson,30.9947,-85.4091,142.0,37.0,24 hours per day,3 hours (by rule),,Welcome Center
Public,AL,Houston County Welcome Center,US-231 NB / SB,0.706,Cottonwood,Houston,31.006808,-85.407686,80.0,10.0,24 hour,no limits,,Houston County Welcome Center
Public,MS,Weigh Station Marion County MS 35,MS 35,0.0,Sandy Hook,Marion,31.012215,-89.796503,8.0,8.0,Weigh Station parking area is only used for inspections and regulatory activities.,,,Weigh Station Marion County MS 35
Public,MS,NHS Weigh Station Pike County I-55 NB,I-55 NB,2.0,Osyka,Pike,31.028156,-90.499409,8.0,8.0,Weigh Station parking area is only used for inspections and regulatory activities.,,,NHS Weigh Station Pike County I-55 NB
Public,TX,"Culberson County SRA on I-10, eastbound",I-10E,144.0,Lobo,Culberson,31.04285,-104.754034,30.0,16.0,24,24,,"Culberson County SRA on I-10, eastbound"
Public,TX,"Culberson County SRA on I-10, westbound",I-10W,144.0,Lobo,Culberson,31.043607,-104.753092,32.0,18.0,24,24,,"Culberson County SRA on I-10, westbound"
Public,MS,NHS Welcome Center Pike County Welcome Center,I-55 NB,3.0,Magnolia,Pike,31.047451,-90.495506,62.0,16.0,24/7,no restrictions,,NHS Welcome Center Pike County Welcome Center
Public,MS,Weigh Station Wilkinson County MS 33,MS 33,0.0,Centreville,Wilkinson,31.076406,-91.072154,0.0,0.0,Weigh Station parking area is only used for inspections and regulatory activities.,,,Weigh Station Wilkinson County MS 33
Public,AL,Covington County Rest Area,US-331 NB / SB,8.002,Florala,Covington,31.090454,-86.296196,25.0,5.0,24 hour,no limits,,Covington County Rest Area
Public,MS,NHS Welcome Center Woodville Hospitality Station,US 61 NB,0.0,Woodville,Wilkinson,31.091137,-91.293632,23.0,6.0,24/7,no restrictions,,NHS Welcome Center Woodville Hospitality Station
Public,MS,NHS Parking Area Forrest County I-59 SB,I-59 SB,56.0,,Forrest,31.200544,-89.338732,25.0,5.0,24/7,8 hrs or min hrs to maintain driver's log requirement,,NHS Parking Area Forrest County I-59 SB
Public,MS,NHS Parking Area Forrest County I-59 NB,I-59 NB,56.0,,Forrest,31.201247,-89.336063,16.0,5.0,24/7,8 hrs or min hrs to maintain driver's log requirement,,NHS Parking Area Forrest County I-59 NB
Public,TX,Concho County SRA,US87N,0.0,Eden,Concho,31.218084,-99.96208,17.0,5.0,24,24,,Concho County SRA
Public,GA,GDOT Rest Area 5,I-75N,47.0,Wagon Wheel,Cook,31.243507,-83.465355,113.0,29.0,24 hour,24 hour,,GDOT Rest Area 5
Public,GA,GDOT Rest Area 6,I-75S,48.0,Wagon Wheel,Cook,31.26118,-83.471182,139.0,37.0,24 hour,24 hour,,GDOT Rest Area 6
Public,GA,GDOT Rest Area 105,I-95S,40.0,Broadfield,Glynn,31.280127,-81.49037,182.0,50.0,24 hour,24 hour,,GDOT Rest Area 105
